DATE,CPIAUCNS
2009-01-01,211.143
2009-02-01,212.193
2009-03-01,212.709
2009-04-01,213.24
2009-05-01,213.856
2009-06-01,215.693
2009-07-01,215.351
2009-08-01,215.834
2009-09-01,215.969
2009-10-01,216.177
2009-11-01,216.33
2009-12-01,215.949
2010-01-01,216.687
2010-02-01,216.741
2010-03-01,217.631
2010-04-01,218.009
2010-05-01,218.178
2010-06-01,217.965
2010-07-01,218.011
2010-08-01,218.312
2010-09-01,218.439
2010-10-01,218.711
2010-11-01,218.803
2010-12-01,219.179
2011-01-01,220.223
2011-02-01,221.309
2011-03-01,223.467
2011-04-01,224.906
2011-05-01,225.964
2011-06-01,225.722
2011-07-01,225.922
2011-08-01,226.545
2011-09-01,226.889
2011-10-01,226.421
2011-11-01,226.23
2011-12-01,225.672
2012-01-01,226.665
2012-02-01,227.663
2012-03-01,229.392
2012-04-01,230.085
2012-05-01,229.815
2012-06-01,229.478
2012-07-01,229.104
2012-08-01,230.379
2012-09-01,231.407
2012-10-01,231.317
2012-11-01,230.221
2012-12-01,229.601
2013-01-01,230.28
2013-02-01,232.166
2013-03-01,232.773
2013-04-01,232.531
2013-05-01,232.945
2013-06-01,233.504
2013-07-01,233.596
2013-08-01,233.877
2013-09-01,234.149
2013-10-01,233.546
2013-11-01,233.069
2013-12-01,233.049
2014-01-01,233.916
2014-02-01,234.781
2014-03-01,236.293
2014-04-01,237.072
2014-05-01,237.9
2014-06-01,238.343
2014-07-01,238.25
2014-08-01,237.852
2014-09-01,238.031
2014-10-01,237.433
2014-11-01,236.151
2014-12-01,234.812
2015-01-01,233.707
2015-02-01,234.722
2015-03-01,236.119
2015-04-01,236.599
2015-05-01,237.805
2015-06-01,238.638
2015-07-01,238.654
2015-08-01,238.316
2015-09-01,237.945
2015-10-01,237.838
2015-11-01,237.336
2015-12-01,236.525
2016-01-01,236.916
2016-02-01,237.111
2016-03-01,238.132
2016-04-01,239.261
2016-05-01,240.229
2016-06-01,241.018
2016-07-01,240.628
2016-08-01,240.849
2016-09-01,241.428
2016-10-01,241.729
2016-11-01,241.353
2016-12-01,241.432
2017-01-01,242.839
2017-02-01,243.603
2017-03-01,243.801
2017-04-01,244.524
2017-05-01,244.733
2017-06-01,244.955
2017-07-01,244.786
2017-08-01,245.519
2017-09-01,246.819
2017-10-01,246.663
2017-11-01,246.669
2017-12-01,246.524
2018-01-01,247.867
2018-02-01,248.991
2018-03-01,249.554
2018-04-01,250.546
2018-05-01,251.588
2018-06-01,251.989
2018-07-01,252.006
2018-08-01,252.146
2018-09-01,252.439
2018-10-01,252.885
2018-11-01,252.038
2018-12-01,251.233
2019-01-01,251.712
2019-02-01,252.776
2019-03-01,254.202
2019-04-01,255.548
2019-05-01,256.092
2019-06-01,256.143
2019-07-01,256.571
2019-08-01,256.558
2019-09-01,256.759
2019-10-01,257.346
2019-11-01,257.208
2019-12-01,256.974
2020-01-01,257.971
2020-02-01,258.678
2020-03-01,258.115
2020-04-01,256.389
2020-05-01,256.394
2020-06-01,257.797
2020-07-01,259.101
2020-08-01,259.918
2020-09-01,260.28
2020-10-01,260.388
2020-11-01,260.229
2020-12-01,260.474
